tipo_persona_id,sexo_victima
498.0,No corresponde
499.0,No corresponde
500.0,No corresponde
14064.0,Masculino
501.0,No corresponde
14065.0,Masculino
502.0,No corresponde
14066.0,Masculino
503.0,No corresponde
14067.0,Masculino
504.0,No corresponde
506.0,No corresponde
14068.0,Masculino
505.0,No corresponde
14069.0,Femenino
507.0,No corresponde
14070.0,Masculino
508.0,No corresponde
14071.0,Femenino
14072.0,Masculino
509.0,No corresponde
14073.0,Masculino
510.0,No corresponde
511.0,No corresponde
14074.0,Masculino
512.0,No corresponde
23449.0,Masculino
513.0,No corresponde
14075.0,Masculino
516.0,No corresponde
517.0,No corresponde
518.0,No corresponde
519.0,No corresponde
14077.0,Masculino
520.0,No corresponde
14078.0,Masculino
521.0,No corresponde
14079.0,Masculino
522.0,No corresponde
14080.0,Masculino
523.0,No corresponde
14081.0,Masculino
524.0,No corresponde
14082.0,Masculino
525.0,No corresponde
14083.0,Masculino
526.0,No corresponde
14084.0,Masculino
527.0,No corresponde
14085.0,Masculino
528.0,No corresponde
14086.0,Femenino
529.0,No corresponde
14087.0,Masculino
530.0,No corresponde
14088.0,Masculino
531.0,No corresponde
532.0,No corresponde
533.0,No corresponde
14089.0,Masculino
14090.0,Masculino
14091.0,Masculino
534.0,No corresponde
14092.0,Masculino
535.0,No corresponde
14093.0,Masculino
536.0,No corresponde
14094.0,Masculino
537.0,No corresponde
14095.0,Masculino
538.0,No corresponde
14096.0,Masculino
539.0,No corresponde
14097.0,Femenino
540.0,No corresponde
14098.0,Masculino
541.0,No corresponde
14099.0,Masculino
542.0,No corresponde
14100.0,Masculino
543.0,No corresponde
14101.0,Masculino
544.0,No corresponde
14102.0,Masculino
545.0,No corresponde
14103.0,Femenino
546.0,No corresponde
14104.0,Femenino
547.0,No corresponde
14105.0,Masculino
548.0,No corresponde
549.0,No corresponde
14106.0,Masculino
550.0,No corresponde
14107.0,Femenino
551.0,No corresponde
14108.0,Femenino
552.0,No corresponde
553.0,No corresponde
14109.0,Masculino
554.0,No corresponde
14110.0,Masculino
555.0,No corresponde
14111.0,Masculino
556.0,No corresponde
14112.0,Masculino
557.0,No corresponde
14113.0,Masculino
558.0,No corresponde
