tipo_persona_id,tipo_lugar,sexo_victima
501.0,Domicilio particular,
14065.0,Domicilio particular,
502.0,Vía pública,
14066.0,Vía pública,
503.0,Vía pública,
14067.0,Vía pública,
504.0,Vía pública,
506.0,Vía pública,
14068.0,Vía pública,
505.0,Domicilio particular,
14069.0,Domicilio particular,
507.0,Domicilio particular,
14070.0,Domicilio particular,
508.0,Domicilio particular,
14071.0,Domicilio particular,
14072.0,Domicilio particular,
509.0,Domicilio particular,
14073.0,Domicilio particular,
510.0,Vía pública,
511.0,Vía pública,
14074.0,Vía pública,
512.0,Domicilio particular,
23449.0,Domicilio particular,
513.0,Vía pública,
14075.0,Vía pública,
516.0,Domicilio particular,
517.0,Domicilio particular,
518.0,Domicilio particular,
519.0,Domicilio particular,
14077.0,Domicilio particular,
520.0,Vía pública,
14078.0,Vía pública,
521.0,Vía pública,
14079.0,Vía pública,
522.0,Vía pública,
14080.0,Vía pública,
523.0,Vía pública,
14081.0,Vía pública,
524.0,Vía pública,
14082.0,Vía pública,
525.0,Vía pública,
14083.0,Vía pública,
526.0,Vía pública,
14084.0,Vía pública,
527.0,Vía pública,
14085.0,Vía pública,
528.0,Vía pública,
14086.0,Vía pública,
529.0,Vía pública,
14087.0,Vía pública,
530.0,Vía pública,
14088.0,Vía pública,
531.0,Vía pública,
532.0,Vía pública,
533.0,Vía pública,
14089.0,Vía pública,
14090.0,Vía pública,
14091.0,Vía pública,
534.0,Vía pública,
14092.0,Vía pública,
535.0,Vía pública,
14093.0,Vía pública,
536.0,Vía pública,
14094.0,Vía pública,
537.0,Vía pública,
14095.0,Vía pública,
538.0,Domicilio particular,
14096.0,Domicilio particular,
539.0,Vía pública,
14097.0,Vía pública,
540.0,Vía pública,
14098.0,Vía pública,
541.0,Vía pública,
14099.0,Vía pública,
542.0,Vía pública,
14100.0,Vía pública,
543.0,Comercio,
14101.0,Comercio,
544.0,Vía pública,
14102.0,Vía pública,
545.0,Vía pública,
14103.0,Vía pública,
546.0,Vía pública,
14104.0,Vía pública,
547.0,Vía pública,
14105.0,Vía pública,
548.0,Domicilio particular,
549.0,Domicilio particular,
14106.0,Domicilio particular,
550.0,Domicilio particular,
14107.0,Domicilio particular,
551.0,Vía pública,
14108.0,Vía pública,
552.0,Vía pública,
553.0,Vía pública,
14109.0,Vía pública,
554.0,Vía pública,
14110.0,Vía pública,
555.0,Vía pública,
14111.0,Vía pública,
556.0,Domicilio particular,
14112.0,Domicilio particular,
557.0,Vía pública,
14113.0,Vía pública,
558.0,Domicilio particular,
14114.0,Domicilio particular,
559.0,Vía pública,
560.0,Vía pública,
561.0,Vía pública,
562.0,Vía pública,
563.0,Vía pública,
14115.0,Vía pública,
564.0,Domicilio particular,
14116.0,Domicilio particular,
565.0,Vía pública,
14117.0,Vía pública,
566.0,Vía pública,
14118.0,Vía pública,
567.0,Vía pública,
568.0,Vía pública,
569.0,Vía pública,
570.0,Vía pública,
571.0,Vía pública,
572.0,Vía pública,
573.0,Vía pública,
14119.0,Vía pública,
574.0,Otro lugar,
14120.0,Otro lugar,
575.0,Vía pública,
14121.0,Vía pública,
576.0,Vía pública,
14122.0,Vía pública,
577.0,Vía pública,
14123.0,Vía pública,
578.0,Vía pública,
14124.0,Vía pública,
579.0,Vía pública,
580.0,Vía pública,
14125.0,Vía pública,
