tipo_persona_id,tipo_lugar,sexo_inculpado,Id_hecho
14061.0,6.0,,12235
496.0,6.0,,12236
14062.0,6.0,,12236
497.0,2.0,,12240
14063.0,2.0,,12240
498.0,2.0,,12241
499.0,2.0,,12241
500.0,2.0,,12241
14064.0,2.0,,12241
501.0,2.0,,12242
14065.0,2.0,,12242
502.0,6.0,,12243
14066.0,6.0,,12243
503.0,6.0,,12244
14067.0,6.0,,12244
504.0,6.0,,12248
506.0,6.0,,12248
14068.0,6.0,,12248
505.0,2.0,,12249
14069.0,2.0,,12249
507.0,2.0,,12250
14070.0,2.0,,12250
508.0,2.0,,12251
14071.0,2.0,,12251
14072.0,2.0,,12251
509.0,2.0,,12252
14073.0,2.0,,12252
510.0,6.0,,12253
511.0,6.0,,12253
14074.0,6.0,,12253
512.0,2.0,,12254
23449.0,2.0,,12254
513.0,6.0,,12255
14075.0,6.0,,12255
516.0,2.0,,12257
517.0,2.0,,12257
518.0,2.0,,12257
519.0,2.0,,12257
14077.0,2.0,,12257
520.0,6.0,,12272
14078.0,6.0,,12272
521.0,6.0,,12273
14079.0,6.0,,12273
522.0,6.0,,12274
14080.0,6.0,,12274
523.0,6.0,,12275
14081.0,6.0,,12275
524.0,6.0,,12276
14082.0,6.0,,12276
525.0,6.0,,12277
14083.0,6.0,,12277
526.0,6.0,,12278
14084.0,6.0,,12278
527.0,6.0,,12279
14085.0,6.0,,12279
528.0,6.0,,12280
14086.0,6.0,,12280
529.0,6.0,,12281
14087.0,6.0,,12281
530.0,6.0,,12282
14088.0,6.0,,12282
531.0,6.0,,12283
532.0,6.0,,12283
533.0,6.0,,12283
14089.0,6.0,,12283
14090.0,6.0,,12283
14091.0,6.0,,12283
534.0,6.0,,12284
14092.0,6.0,,12284
535.0,6.0,,12285
14093.0,6.0,,12285
536.0,6.0,,12286
14094.0,6.0,,12286
537.0,6.0,,12287
14095.0,6.0,,12287
538.0,2.0,,12288
14096.0,2.0,,12288
539.0,6.0,,12289
14097.0,6.0,,12289
540.0,6.0,,12290
14098.0,6.0,,12290
541.0,6.0,,12291
14099.0,6.0,,12291
542.0,6.0,,12292
14100.0,6.0,,12292
543.0,1.0,,12293
14101.0,1.0,,12293
544.0,6.0,,12295
14102.0,6.0,,12295
545.0,6.0,,12303
14103.0,6.0,,12303
546.0,6.0,,12304
14104.0,6.0,,12304
547.0,6.0,,12305
14105.0,6.0,,12305
548.0,2.0,,12306
549.0,2.0,,12306
14106.0,2.0,,12306
550.0,2.0,,12307
14107.0,2.0,,12307
551.0,6.0,,12308
14108.0,6.0,,12308
552.0,6.0,,12309
553.0,6.0,,12309
14109.0,6.0,,12309
554.0,6.0,,12310
14110.0,6.0,,12310
555.0,6.0,,12311
14111.0,6.0,,12311
556.0,2.0,,12312
14112.0,2.0,,12312
557.0,6.0,,12322
14113.0,6.0,,12322
558.0,2.0,,12325
14114.0,2.0,,12325
559.0,6.0,,12326
560.0,6.0,,12326
561.0,6.0,,12326
562.0,6.0,,12326
563.0,6.0,,12326
14115.0,6.0,,12326
564.0,2.0,,12327
14116.0,2.0,,12327
565.0,6.0,,12328
14117.0,6.0,,12328
566.0,6.0,,12329
14118.0,6.0,,12329
567.0,6.0,,12330
568.0,6.0,,12330
569.0,6.0,,12330
570.0,6.0,,12330
571.0,6.0,,12330
572.0,6.0,,12330
573.0,6.0,,12330
14119.0,6.0,,12330
574.0,4.0,,12331
14120.0,4.0,,12331
575.0,6.0,,12332
14121.0,6.0,,12332
576.0,6.0,,12333
14122.0,6.0,,12333
577.0,6.0,,12334
14123.0,6.0,,12334
578.0,6.0,,12335
14124.0,6.0,,12335
579.0,6.0,,12336
580.0,6.0,,12336
