tipo_persona_id,motivo_origen_registro,Id_hecho
298.0,Intervención policial,11939
13911.0,Intervención policial,11939
299.0,Intervención policial,11941
13912.0,Intervención policial,11941
300.0,Intervención policial,11942
13913.0,Intervención policial,11942
301.0,Intervención policial,11943
302.0,Intervención policial,11943
13914.0,Intervención policial,11943
303.0,Intervención policial,11944
13915.0,Intervención policial,11944
304.0,Intervención policial,11945
13916.0,Intervención policial,11945
305.0,Intervención policial,11946
13917.0,Intervención policial,11946
306.0,Intervención policial,11947
13918.0,Intervención policial,11947
307.0,Intervención policial,11948
13919.0,Intervención policial,11948
308.0,Intervención policial,11949
13920.0,Intervención policial,11949
309.0,Intervención policial,11950
13921.0,Intervención policial,11950
310.0,Intervención policial,11951
13922.0,Intervención policial,11951
311.0,Intervención policial,11952
13923.0,Intervención policial,11952
312.0,Intervención policial,11953
13924.0,Intervención policial,11953
514.0,Denuncia particular,11966
515.0,Denuncia particular,11966
13925.0,Denuncia particular,11966
313.0,Intervención policial,11970
13926.0,Intervención policial,11970
314.0,Intervención policial,11971
13927.0,Intervención policial,11971
315.0,Intervención policial,11972
13928.0,Intervención policial,11972
316.0,Intervención policial,11973
13929.0,Intervención policial,11973
317.0,Intervención policial,11974
13930.0,Intervención policial,11974
318.0,Intervención policial,11975
319.0,Intervención policial,11975
13931.0,Intervención policial,11975
320.0,Intervención policial,11976
13932.0,Intervención policial,11976
321.0,Intervención policial,11977
13933.0,Intervención policial,11977
322.0,Intervención policial,11978
13934.0,Intervención policial,11978
323.0,Intervención policial,11979
13935.0,Intervención policial,11979
324.0,Intervención policial,11980
13936.0,Intervención policial,11980
325.0,Intervención policial,11981
13937.0,Intervención policial,11981
326.0,Intervención policial,11982
13938.0,Intervención policial,11982
327.0,Intervención policial,11983
13939.0,Intervención policial,11983
328.0,Intervención policial,11984
13940.0,Intervención policial,11984
329.0,Intervención policial,11985
13941.0,Intervención policial,11985
330.0,Intervención policial,11986
13942.0,Intervención policial,11986
331.0,Intervención policial,11987
13943.0,Intervención policial,11987
332.0,Intervención policial,11988
13944.0,Intervención policial,11988
333.0,Intervención policial,11989
13945.0,Intervención policial,11989
334.0,Intervención policial,11990
13946.0,Intervención policial,11990
335.0,Intervención policial,11991
13947.0,Intervención policial,11991
13582.0,Intervención policial,11992
13948.0,Intervención policial,11992
336.0,Denuncia particular,11993
13949.0,Denuncia particular,11993
337.0,Denuncia particular,11994
13950.0,Denuncia particular,11994
338.0,Intervención policial,11995
13951.0,Intervención policial,11995
339.0,Intervención policial,12001
13952.0,Intervención policial,12001
340.0,Intervención policial,12002
13953.0,Intervención policial,12002
341.0,Intervención policial,12004
13954.0,Intervención policial,12004
342.0,Intervención policial,12005
13955.0,Intervención policial,12005
343.0,Intervención policial,12006
13956.0,Intervención policial,12006
344.0,Intervención policial,12007
13957.0,Intervención policial,12007
345.0,Intervención policial,12008
13958.0,Intervención policial,12008
346.0,Intervención policial,12009
13959.0,Intervención policial,12009
347.0,Intervención policial,12010
13960.0,Intervención policial,12010
13961.0,Intervención policial,12010
348.0,Intervención policial,12011
13962.0,Intervención policial,12011
349.0,Intervención policial,12012
13963.0,Intervención policial,12012
350.0,Intervención policial,12013
13964.0,Intervención policial,12013
352.0,Denuncia particular,12016
353.0,Denuncia particular,12016
13966.0,Denuncia particular,12016
351.0,Denuncia particular,12017
13965.0,Denuncia particular,12017
354.0,Denuncia particular,12018
13967.0,Denuncia particular,12018
13575.0,Denuncia particular,12019
13968.0,Denuncia particular,12019
355.0,Denuncia particular,12020
356.0,Denuncia particular,12020
13969.0,Denuncia particular,12020
357.0,Denuncia particular,12021
13970.0,Denuncia particular,12021
358.0,Denuncia particular,12022
13971.0,Denuncia particular,12022
398.0,Denuncia particular,12023
399.0,Denuncia particular,12023
400.0,Denuncia particular,12023
401.0,Denuncia particular,12023
402.0,Denuncia particular,12023
403.0,Denuncia particular,12023
13972.0,Denuncia particular,12023
359.0,Denuncia particular,12024
13973.0,Denuncia particular,12024
360.0,Denuncia particular,12025
361.0,Denuncia particular,12025
13974.0,Denuncia particular,12025
362.0,Denuncia particular,12026
13975.0,Denuncia particular,12026
404.0,Denuncia particular,12027
405.0,Denuncia particular,12027
406.0,Denuncia particular,12027
407.0,Denuncia particular,12027
408.0,Denuncia particular,12027
409.0,Denuncia particular,12027
410.0,Denuncia particular,12027
13976.0,Denuncia particular,12027
363.0,Denuncia particular,12028
13977.0,Denuncia particular,12028
364.0,Denuncia particular,12029
365.0,Denuncia particular,12029
13978.0,Denuncia particular,12029
366.0,Denuncia particular,12030
13979.0,Denuncia particular,12030
367.0,Intervención policial,12031
368.0,Intervención policial,12031
13980.0,Intervención policial,12031
369.0,Intervención policial,12032
13981.0,Intervención policial,12032
370.0,Intervención policial,12033
13982.0,Intervención policial,12033
371.0,Intervención policial,12034
13983.0,Intervención policial,12034
372.0,Intervención policial,12035
13984.0,Intervención policial,12035
373.0,Intervención policial,12036
13985.0,Intervención policial,12036
374.0,Intervención policial,12037
375.0,Intervención policial,12037
13986.0,Intervención policial,12037
376.0,Intervención policial,12038
13987.0,Intervención policial,12038
377.0,Intervención policial,12039
13988.0,Intervención policial,12039
378.0,Intervención policial,12040
21113.0,Intervención policial,12040
379.0,Intervención policial,12041
13989.0,Intervención policial,12041
380.0,Intervención policial,12042
